name,address,contact_person,telephone,fax,email,website,organisation,organisation_website
"""Altenpflegeheim am grünen Ring"", Zittau","Heinrich-Heine-Platz 7
02763 Zittau",Leiterin: Manuela Muck,03583/51670,03583/5167444,altenpflege-zittau@awo-oberlausitz.de,http://awo-oberlausitz.de/altenhilfe/altenpflegeheim-am-gruenen-ring-zittau/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"""Altenpflegeheim am Kurpark"", Jonsdorf","Zittauer Straße 47
02796 Jonsdorf",Leiterin: Ines Lukas,035844/2330,035844/233444,altenpflege-jonsdorf@awo-oberlausitz.de,http://awo-oberlausitz.de/altenhilfe/altenpflegeheim-am-kurpark-jonsdorf/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"""Altenpflegeheim an der Mandau"", Großschönau","Kirchstraße 3
02779 Großschönau",Leiter: Carsten Seitz,035841/1640,035841/164444,altenpflege-grossschoenau@awo-oberlausitz.de,http://awo-oberlausitz.de/altenhilfe/altenpflegeheim-an-der-mandau-grossschoenau/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"""Take your Chance"" Projekt, Hoyerswerda","Käthe-Kollwitz-Str. 3
02977 Hoyerswerda",Frau: Carina Israel,03571-4885610,03571-4885605,bl-kjh@awo-lausitz.de,http://www.awo-lausitz.de,AWO Lausitz Pflege- und Betreuungs-gGmbH,http://www.awo-lausitz.de
"5-Tage-Gruppe, Treuen","Innere Herlasgrüner Straße 53
08233 Treuen",Teamleiterin: Denise Dürr,037468 6782844,037468 67843,d.duerr@awo-vogtland.de,http://www.awo-vogtland.de,AWO Kreisverband Vogtland e.V.,http://https://www.awo-vogtland.de/
"Allgemeine Sozialberatung, Bautzen","Löbauer Straße 48
02625 Bautzen",Ansprechpartnerin: Petra Brzezinski,035913261110,03591326118,petra.brzezinski@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Altenpflegeheim ""Friedrich Wagner"", Olbersdorf","Ernst-May-Straße 37
02785 Olbersdorf",Leiter: Norman Freiberg,03583/58340,03583/5834444,altenpflege-olbersdorf@awo-oberlausitz.de,http://awo-oberlausitz.de/altenhilfe/altenpflegeheim-friedrich-wagner-olbersdorf/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Altenpflegeheim ""Jenny Marx"", Lauta","Karl-Marx-Str. 49
02991 Lauta",Herr: Torsten Bessert,03571-4885700,03571-4885605,t.bessert@awo-lausitz.de,http://www.awo-lausitz.de,AWO Lausitz Pflege- und Betreuungs-gGmbH,http://www.awo-lausitz.de
"Altenpflegeheim Zentralhospital, Görlitz","Krölstraße 46
02826 Görlitz",Leiterin: Jana Nickolmann,03581/4640,03581/464109,altenpflege-goerlitz@awo-oberlausitz.de,http://awo-oberlausitz.de/altenhilfe/altenpflegeheim-zentralhospital-goerlitz/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Altenzentrum Hoyerswerda, Hoyerswerda","Thomas-Müntzer-Str. 26
02977 Hoyerswerda",Frau: Kora Rottgardt,03571-4885519,03571-4885505,K.Rottgardt@awo-lausitz.de,http://www.awo-lausitz.de,AWO Lausitz Pflege- und Betreuungs-gGmbH,http://www.awo-lausitz.de
