name,address,contact_person,telephone,email
Altenwohnanlage Marianne-Sternberg-Haus,"Anton-Günther-Straße 26
26441 Jever",Birte-Christine Jansen,0 44 619 21 60,info@marianne-sternberg-haus.de
Altenwohnanlage Rastede,"Mühlenstraße 49
26180 Rastede",Elke Thoben,0 44 029 28 70,info@altenwohnanlage-rastede.de
Altenwohnzentrum Esens,"Flack 14
26427 Esens",Silja Otten,0 49 719 11 10,info@altenwohnzentrum-esens.de
Altenwohnzentrum Haus am Flötenteich,"Nadorster Straße 298–302
26125 Oldenburg",Bianka Vieth,04 419 31 80,info@haus-am-floetenteich.de
Altenwohnzentrum Haus Heidmühle,"Mozartstraße 17
26419 Schortens",Sabine Gronewold,0 44 619 87 00,info@awo-haus-heidmuehle.de
Altenwohnzentrum Norden Haus am Kolk,"Schulstraße 71
26506 Norden",Elke Göken,0 49 3194 50,info@awo-haus-am-kolk.de
Altenwohnzentrum Nordenham,"Carl-Zeiss-Weg 40
26954 Nordenham",Stefan Seidl,0 47 319 34 70,info@altenwohnzentrum-nordenham.de
Altenwohnzentrum Nordhorn,"Veldhauser Straße 179
48527 Nordhorn",Gerlinde Gosink,0 59 218 34 20,info@altenwohnzentrum-nordhorn.de
Altenwohnzentrum Pauline-Ahlsdorff-Haus,"Rheinstraße 106
26382 Wilhelmshaven",Christiane Kohlenbach-Pajonk,0 44 2194 30,info@pauline-ahlsdorff-haus.de
AWO am Burggraben,"Am Burggraben 2
26789 Leer",Patricia Krause,04 9192 53 70,info@awo-am-burggraben.de
AWO am Zwischenahner Meer,"Seestraße 2 a
26160 Rostrup",Christin Golletz,0 44 039 78-0,info@awo-am-zwischenahner-meer.de
AWO Freizeit- und Begegnungsstätte Frisbee,"Dwaschweg 281
26133 Oldenburg",Kai Rotzinger-Varnhorn,0441 4853663,info@awo-frisbee.de
AWO Inklusive Wohngruppe Bad Salzdetfurth,"Burgweg 1
31162 Bad Salzdetfurth",Christine Zellmann,0 50 6327 90,info@awo-inklusive-wohngruppe-bad-salzdetfurth.de
AWO Inklusive Wohngruppe Wilhelmshaven,"Bremer Str. 169
26382 Wilhelmshaven",Meike Luitjens,0 44 219 56 91 41,info@awo-inklusive-wohngruppe-whv.de
AWO Jugendmigrationsdienst Leer,"Haus Hermann - Hermann-Lange-Ring 28
26789 Leer",,01 5111 18 89 57,info@awo-jugendmigrationsdienst-leer.de
